Step:155         avg_loss:1549.6325684   counting:727.9999108    predict:7795.4731445
Step:156         avg_loss:345.7790833    counting:32.9999995     predict:1632.9863281
Step:157         avg_loss:1662.9019775   counting:321.0000261    predict:8198.9833984
Step:158         avg_loss:217.6107483    counting:237.9999944    predict:1277.6203613
Step:159         avg_loss:1334.8085938   counting:225.0000029    predict:6577.3793945
Step:160         avg_loss:807.5333252    counting:81.0000030     predict:3612.1740723
Step:161         avg_loss:839.9008789    counting:232.0000118    predict:4049.6694336
Step:162         avg_loss:1244.5620117   counting:456.0000253    predict:6992.5874023
Step:163         avg_loss:919.0202637    counting:651.9999571    predict:3582.0136719
Step:164         avg_loss:716.2792969    counting:467.9999579    predict:3037.1088867
Step:165         avg_loss:1432.8322754   counting:898.9996803    predict:8027.3852539
Step:166         avg_loss:1966.3066406   counting:271.0000561    predict:9639.9736328
Step:167         avg_loss:2394.0957031   counting:914.9994970    predict:10774.8037109
Step:168         avg_loss:1093.6083984   counting:269.0000221    predict:5815.9877930
Step:169         avg_loss:655.9468994    counting:753.9999415    predict:3875.2473145
Step:170         avg_loss:172.5730896    counting:1406.9998612   predict:2371.0649414
Step:171         avg_loss:1454.3980713   counting:321.0000092    predict:7703.9003906
Step:172         avg_loss:1036.6911621   counting:402.0000209    predict:5713.6982422
Step:173         avg_loss:1086.5979004   counting:167.0000227    predict:5640.5000000
Step:174         avg_loss:484.8348999    counting:175.0000089    predict:2472.5529785
Step:175         avg_loss:390.6493530    counting:421.9999347    predict:2420.1433105
Step:176         avg_loss:1403.9792480   counting:577.9999376    predict:8368.0048828
Step:177         avg_loss:1219.0700684   counting:1155.9997915   predict:8310.4169922
Step:178         avg_loss:1226.3330078   counting:340.9999968    predict:6702.0214844
Step:179         avg_loss:640.9199219    counting:467.9999527    predict:2487.9543457
Step:180         avg_loss:1313.3135986   counting:688.9999220    predict:7399.4335938
Step:181         avg_loss:1290.3808594   counting:401.9999803    predict:7676.4643555
Step:182         avg_loss:1228.4904785   counting:599.9999051    predict:7667.5214844
Step:183         avg_loss:891.5115967    counting:1572.9998527   predict:6914.6186523
Step:184         avg_loss:647.3057861    counting:977.9996804    predict:5083.7045898
Step:185         avg_loss:230.1334839    counting:1654.9996815   predict:3264.0305176
Step:186         avg_loss:617.4265747    counting:406.9999847    predict:4238.7602539
Step:187         avg_loss:1263.1158447   counting:110.9999992    predict:7204.6118164
Step:188         avg_loss:248.6237946    counting:497.9999582    predict:2053.2646484
Step:189         avg_loss:1324.4274902   counting:270.0000587    predict:8327.5273438
Step:190         avg_loss:1101.8542480   counting:392.9999818    predict:7168.3945312
Step:191         avg_loss:508.4251709    counting:77.0000111     predict:3155.1359863
Step:192         avg_loss:543.9949951    counting:122.9999983    predict:2635.2402344
Step:193         avg_loss:823.2189331    counting:295.9999872    predict:5531.3388672
Step:194         avg_loss:1096.9272461   counting:243.0000581    predict:6936.2695312
Step:195         avg_loss:946.9494629    counting:579.9998140    predict:6856.2050781
Step:196         avg_loss:657.9666138    counting:459.9999883    predict:4681.3588867
Step:197         avg_loss:348.3565674    counting:350.9999757    predict:2648.2941895
Step:198         avg_loss:615.4158325    counting:653.9997744    predict:5022.0351562
Step:199         avg_loss:534.8510742    counting:99.0000021     predict:3624.1489258
Step:200         avg_loss:518.0606079    counting:444.9999810    predict:4022.0778809
Step:201         avg_loss:584.1452637    counting:216.0000199    predict:4128.6577148
Step:202         avg_loss:717.7710571    counting:1956.0000186   predict:6614.2324219
Step:203         avg_loss:892.8488770    counting:548.9999843    predict:6566.0102539
Step:204         avg_loss:1385.3465576   counting:136.0000106    predict:7728.2944336
Step:205         avg_loss:838.7875977    counting:310.9999712    predict:6255.2919922
Step:206         avg_loss:364.9277649    counting:131.0000217    predict:2678.2111816
Step:207         avg_loss:807.7425537    counting:535.9999192    predict:6204.1308594
Step:208         avg_loss:664.1997681    counting:544.9999911    predict:5446.4785156
Step:209         avg_loss:894.2052002    counting:749.9998490    predict:6949.8359375
Step:210         avg_loss:380.6690674    counting:188.0000084    predict:2991.0686035
Step:211         avg_loss:803.8027344    counting:338.0000395    predict:6059.2763672
Step:212         avg_loss:941.5852051    counting:248.0000391    predict:7118.1362305
Step:213         avg_loss:131.7194214    counting:377.9999741    predict:1030.2932129
Step:214         avg_loss:116.2873688    counting:301.9999818    predict:1170.9155273
Step:215         avg_loss:141.0128174    counting:85.0000072     predict:1142.3724365
Step:216         avg_loss:125.3531952    counting:210.9999945    predict:1255.8839111
Step:217         avg_loss:114.7329559    counting:605.9998956    predict:1565.0551758
Step:218         avg_loss:83.0489502     counting:425.9999752    predict:1053.1007080
Step:219         avg_loss:392.6548157    counting:304.9999966    predict:3269.6279297
Step:220         avg_loss:728.7432861    counting:584.9999134    predict:5811.8310547
